student_id,cgpa,tenth_percentage,twelfth_percentage,aptitude_score,coding_score,technical_score,communication_score,number_of_projects,internship,internship_months,certifications,attendance_percentage,backlogs,extracurricular_activities,placement_status
263,4.0,75.91,66.08,75.08,29.63,33.01,81.0,1,Yes,3,1,81.4,2,No,Not Placed
264,6.07,55.78,64.58,70.76,53.21,64.55,56.2,2,No,0,1,71.89,0,Yes,Not Placed
265,6.92,72.05,75.17,50.08,46.37,62.16,53.2,5,Yes,2,2,80.61,0,No,Placed
266,5.83,64.88,78.92,68.74,48.71,54.42,82.12,4,No,0,1,59.73,1,No,Not Placed
267,9.0,100.0,87.97,47.25,73.07,91.31,65.56,1,No,0,1,81.62,0,Yes,Placed
268,5.63,72.89,67.58,,59.55,42.8,35.33,0,Yes,6,0,90.21,0,Yes,Not Placed
269,6.72,76.48,75.68,80.44,68.24,78.84,100.0,4,No,0,1,81.64,0,No,Placed
270,7.34,81.62,83.63,76.95,66.16,81.06,62.19,2,Yes,3,0,79.16,3,Yes,Placed
271,8.79,75.52,71.25,65.23,64.85,73.88,96.92,2,No,0,1,87.28,2,Yes,Placed
272,5.62,95.34,83.82,50.38,56.09,52.33,93.01,3,No,0,2,88.04,0,No,Not Placed
273,8.48,67.53,72.83,74.68,66.46,66.02,51.98,2,Yes,6,1,65.4,0,No,Placed
274,7.21,77.34,80.37,65.29,41.46,53.05,88.6,2,Yes,3,0,82.89,0,No,Placed
275,6.12,66.09,57.15,30.2,42.91,47.26,58.27,5,Yes,6,2,100.0,0,Yes,Placed
276,7.71,59.16,69.09,76.74,62.93,73.1,36.4,3,Yes,2,0,68.65,1,Yes,Placed
277,7.42,67.66,75.25,64.64,73.0,80.9,62.36,1,No,0,2,81.15,0,No,Placed
278,6.54,74.56,73.17,83.04,49.57,49.42,77.16,1,No,0,1,100.0,0,No,Not Placed
279,7.28,69.85,68.5,48.57,40.08,40.35,61.67,1,Yes,1,0,93.04,3,No,Not Placed
280,6.78,66.69,69.45,17.35,55.06,34.35,64.47,3,Yes,1,3,76.87,2,No,Not Placed
281,7.32,58.12,50.42,69.19,60.3,59.11,90.58,1,Yes,6,0,84.06,0,Yes,Placed
282,7.93,74.0,71.84,69.37,66.21,77.31,71.92,0,Yes,6,4,81.98,0,Yes,Placed
283,8.94,56.94,45.0,39.64,85.36,72.72,54.82,4,No,0,0,74.52,0,No,Placed
284,5.84,84.12,87.72,50.32,61.99,84.56,82.64,1,Yes,3,0,81.26,0,Yes,Not Placed
285,9.55,75.99,60.9,100.0,67.46,79.15,73.56,0,No,0,0,79.2,0,No,Placed
286,5.05,57.51,68.79,60.42,31.18,40.55,24.61,1,Yes,6,0,83.13,0,No,Not Placed
287,7.03,71.29,66.52,75.96,40.66,52.31,77.71,1,Yes,2,2,74.52,2,No,Not Placed
288,7.85,65.97,62.68,55.24,73.26,61.48,77.05,2,No,0,1,69.23,4,No,Not Placed
289,7.51,78.83,70.93,33.65,81.81,66.78,70.36,4,No,0,2,81.59,0,Yes,Placed
290,6.52,91.09,84.67,62.45,47.39,63.19,86.05,4,No,0,0,99.15,0,No,Placed
291,6.97,52.5,63.6,61.02,52.15,55.95,57.9,2,No,0,1,82.82,1,No,Placed
292,6.66,76.38,53.84,59.0,75.26,62.45,76.06,2,No,0,1,78.68,3,Yes,Not Placed
293,6.55,73.08,80.99,63.28,60.0,51.73,41.79,2,Yes,2,1,89.54,2,No,Not Placed
294,8.13,83.06,82.45,68.96,71.62,66.32,77.33,1,No,0,1,80.42,0,Yes,Placed
295,7.59,77.56,65.15,62.75,42.88,49.58,100.0,0,No,0,1,100.0,0,No,Not Placed
296,6.44,65.98,55.78,46.04,61.68,68.93,52.09,4,Yes,3,0,81.96,1,Yes,Placed
297,8.19,71.17,82.47,72.29,51.58,44.39,56.32,1,No,0,2,89.0,1,No,Not Placed
298,7.54,65.45,56.34,35.76,43.29,37.84,57.22,1,Yes,6,2,74.45,0,No,Not Placed
299,8.09,87.91,74.89,34.24,59.55,53.4,72.34,2,Yes,6,1,87.03,0,No,Placed
300,7.89,75.26,81.83,76.09,54.35,42.54,50.87,2,No,0,0,84.75,1,No,Not Placed
301,6.29,97.81,95.74,72.61,46.98,46.33,77.58,0,No,0,0,81.43,0,No,Not Placed
302,6.58,74.27,64.34,64.14,31.06,34.18,85.24,1,No,0,1,76.98,2,Yes,Not Placed
303,8.02,66.5,66.58,44.07,78.56,60.25,79.62,2,Yes,2,0,75.62,0,Yes,Placed
304,7.87,56.84,47.95,54.38,79.89,74.15,38.17,3,No,0,0,84.82,1,No,Placed
305,7.18,53.36,61.83,61.06,28.21,36.46,87.91,1,No,0,2,88.29,0,Yes,Not Placed
306,7.33,55.99,63.88,41.06,73.31,58.08,86.87,2,Yes,6,1,80.73,0,Yes,Placed
307,8.61,78.21,79.64,53.91,56.69,60.13,84.94,2,No,0,1,84.87,1,Yes,Placed
308,6.55,81.1,80.89,74.78,65.25,85.34,76.71,4,No,0,0,81.62,1,Yes,Placed
309,7.8,56.03,69.51,86.41,61.39,85.29,73.96,2,No,0,3,82.99,3,No,Placed
310,6.98,85.74,82.16,58.71,56.25,37.76,88.58,1,Yes,2,0,80.0,0,No,Not Placed
311,6.96,69.2,57.83,76.35,52.91,65.71,100.0,2,Yes,3,2,82.18,1,Yes,Placed
312,8.41,76.76,77.68,36.29,85.45,68.92,52.85,3,No,0,3,100.0,0,No,Placed
313,8.11,94.35,100.0,74.89,46.27,56.41,89.41,1,No,0,2,85.12,0,Yes,Placed
314,8.09,85.76,74.07,52.94,73.88,63.61,68.45,2,No,0,4,88.45,2,No,Placed
315,8.64,71.78,66.71,69.61,85.61,81.98,67.67,0,Yes,3,1,86.38,0,Yes,Placed
316,7.22,64.31,66.21,61.28,68.53,67.87,42.34,0,No,0,0,79.37,0,No,Not Placed
317,7.95,49.18,48.83,84.81,98.47,88.58,64.87,2,No,0,0,94.94,0,Yes,Placed
318,6.86,66.37,56.87,51.88,46.94,39.46,52.05,1,Yes,6,1,79.09,0,Yes,Placed
319,7.56,72.47,79.19,74.41,74.81,70.21,61.65,3,No,0,0,92.55,3,No,Placed
320,7.06,63.15,80.4,60.81,54.86,58.99,50.23,2,No,0,1,78.66,0,Yes,Placed
321,7.31,73.42,72.65,62.63,76.95,78.65,61.92,2,Yes,2,0,72.4,0,No,Placed
322,7.85,75.92,66.1,62.24,62.72,71.11,62.69,2,Yes,3,2,85.65,2,No,Placed
323,6.3,72.3,57.68,52.31,44.58,41.96,71.74,2,No,0,1,70.95,0,Yes,Not Placed
324,9.5,67.2,67.54,64.79,95.6,89.2,40.93,0,No,0,1,87.36,0,No,Placed
325,6.09,77.02,83.15,64.06,41.37,57.8,43.98,4,No,0,3,70.06,0,Yes,Not Placed
326,5.86,80.3,81.07,68.62,25.72,50.25,76.51,5,Yes,6,0,78.81,0,Yes,Placed
327,8.47,61.92,60.7,66.27,60.04,61.32,55.65,1,Yes,6,2,67.68,0,No,Placed
328,8.07,91.93,83.02,76.97,73.85,72.58,89.34,1,No,0,2,100.0,1,Yes,Placed
329,7.89,73.82,62.7,78.85,83.97,84.35,74.05,1,No,0,0,65.46,0,No,Placed
330,7.89,75.23,79.38,49.24,64.8,48.63,80.92,3,Yes,6,1,82.1,0,Yes,Placed
331,7.19,83.5,87.46,78.03,77.27,75.56,95.39,3,No,0,1,93.43,0,No,Placed
332,6.21,77.8,62.65,47.2,29.33,42.14,64.43,3,Yes,2,2,92.36,0,Yes,Not Placed
333,7.28,86.44,95.51,73.82,51.62,64.7,59.66,3,Yes,6,1,90.51,3,Yes,Placed
334,6.46,78.45,80.19,74.3,47.31,52.7,85.69,2,Yes,3,1,78.83,0,No,Placed
335,8.27,67.65,77.08,36.33,64.46,58.2,79.17,2,Yes,6,2,95.51,2,Yes,Placed
336,7.04,79.34,65.67,66.39,57.57,51.97,66.63,3,No,0,0,91.13,0,No,Placed
337,6.29,61.28,49.22,57.97,60.7,66.92,95.05,2,No,0,2,84.12,0,No,Placed
338,6.85,76.3,72.48,53.62,48.1,48.98,66.18,2,No,0,2,84.41,0,No,Not Placed
339,7.65,74.6,76.16,85.26,63.32,67.14,70.59,2,No,0,2,78.96,4,No,Not Placed
340,6.58,72.5,84.62,55.19,51.96,49.31,70.38,2,No,0,2,72.9,0,Yes,Not Placed
341,6.3,73.46,76.76,52.9,36.48,40.78,53.18,2,No,0,1,94.37,0,Yes,Placed
342,7.47,52.42,50.23,66.14,58.04,55.99,71.4,2,No,0,4,95.12,4,No,Placed
343,7.47,68.42,58.36,75.28,57.6,69.49,95.14,3,No,0,1,73.16,2,No,Placed
344,6.64,76.11,83.34,62.88,50.66,50.37,78.01,2,No,0,1,80.46,0,Yes,Placed
345,6.68,76.92,66.51,82.5,53.93,78.43,70.56,2,No,0,0,80.57,4,Yes,Not Placed
346,7.46,62.67,74.43,72.96,60.78,79.09,67.09,3,Yes,1,4,81.67,1,No,Placed
347,5.61,90.19,83.89,32.33,38.37,27.64,75.96,2,No,0,2,82.64,0,No,Not Placed
348,5.65,64.61,75.87,57.06,64.31,62.83,83.5,1,No,0,2,91.47,0,No,Not Placed
349,6.41,86.63,88.4,56.57,33.74,34.08,80.97,0,No,0,0,74.53,0,No,Not Placed
350,6.97,80.13,76.02,72.19,44.91,49.83,64.03,2,Yes,3,2,73.54,0,Yes,Placed
351,7.54,67.25,61.37,25.63,100.0,97.71,75.85,2,No,0,2,94.37,1,No,Placed
352,8.82,96.3,88.95,100.0,55.01,65.43,78.64,5,No,0,1,77.37,0,No,Placed
353,8.14,60.68,63.04,72.97,44.84,56.88,51.87,2,Yes,2,0,69.37,0,Yes,Placed
354,7.02,86.03,83.04,67.23,67.21,72.63,73.03,2,No,0,1,77.15,2,Yes,Not Placed
355,7.18,87.01,78.56,82.72,26.28,33.2,31.1,1,Yes,3,0,78.7,0,Yes,Not Placed
356,6.1,66.95,63.93,100.0,45.25,53.12,78.69,0,Yes,2,1,97.55,4,No,Not Placed
357,7.18,91.71,88.17,78.06,89.62,74.1,81.89,3,No,0,0,91.25,4,Yes,Placed
358,6.88,72.0,52.77,79.23,31.89,37.23,83.46,1,No,0,1,93.48,3,Yes,Not Placed
359,7.55,78.46,79.28,66.96,30.71,13.09,,2,No,0,0,90.2,2,Yes,Not Placed
360,6.29,78.12,67.47,62.88,27.83,43.79,75.56,3,No,0,0,91.46,0,Yes,Not Placed
361,7.77,73.39,61.82,57.86,75.65,90.85,95.63,2,Yes,2,0,75.12,0,Yes,Placed
362,8.89,84.73,67.76,52.61,87.96,78.83,95.45,4,Yes,2,3,80.01,0,No,Placed
363,7.08,84.52,66.72,54.69,48.95,36.51,69.47,2,Yes,6,1,72.1,0,Yes,Not Placed
364,7.64,54.02,45.0,44.74,71.38,56.96,72.51,1,Yes,3,1,79.9,0,No,Placed
365,7.96,90.65,80.91,63.86,84.53,73.74,90.0,4,No,0,1,88.84,0,No,Placed
366,6.76,55.05,70.17,39.73,80.88,58.36,42.99,4,No,0,1,83.35,4,No,Not Placed
367,7.45,87.39,79.44,67.86,55.88,68.07,64.18,1,Yes,6,3,95.11,3,No,Not Placed
368,7.21,88.52,86.09,64.46,23.19,43.67,94.04,0,Yes,3,0,70.59,0,Yes,Not Placed
369,7.31,61.91,63.92,67.2,46.15,40.91,87.55,0,No,0,0,87.0,0,Yes,Placed
370,6.35,70.07,69.11,57.17,44.4,55.48,76.65,1,Yes,6,3,69.52,0,Yes,Placed
371,7.23,61.73,59.94,100.0,53.93,83.02,42.9,5,No,0,1,82.94,2,No,Placed
372,7.75,72.42,60.62,85.4,59.16,86.06,69.1,2,No,0,0,89.4,1,Yes,Placed
373,8.8,71.3,80.78,46.33,87.15,100.0,59.38,2,Yes,1,0,79.85,0,No,Placed
374,8.26,84.36,95.38,68.49,85.16,71.14,75.96,4,Yes,6,0,87.51,0,No,Placed
375,9.57,90.72,73.19,55.88,73.97,96.79,55.43,2,No,0,4,72.4,0,No,Placed
376,6.36,91.75,79.38,49.78,67.32,58.52,51.54,2,Yes,2,0,65.36,4,No,Not Placed
377,8.16,68.25,64.19,44.9,70.64,56.99,32.83,4,Yes,1,3,87.57,0,No,Placed
378,7.4,72.49,62.52,71.48,60.18,66.84,91.99,3,Yes,6,4,99.44,0,Yes,Placed
379,9.61,54.8,58.37,54.78,90.47,73.94,62.8,3,No,0,1,72.04,2,No,Placed
380,6.31,65.33,57.97,79.52,51.57,63.95,,2,No,0,0,94.22,2,Yes,Not Placed
381,6.28,86.58,100.0,79.91,81.08,67.53,69.96,3,Yes,1,0,82.43,2,No,Placed
382,6.54,94.39,99.47,85.61,30.75,44.82,50.79,1,No,0,1,68.64,0,Yes,Placed
383,4.86,60.19,60.87,52.21,31.18,50.35,47.34,2,No,0,1,70.68,1,Yes,Not Placed
384,6.62,67.89,74.32,72.13,51.08,56.82,51.9,5,No,0,1,82.16,0,No,Placed
385,6.36,74.68,81.06,74.49,57.51,64.02,56.98,1,Yes,3,1,77.96,0,Yes,Not Placed
386,7.37,78.36,,57.89,77.94,76.68,76.6,3,No,0,3,68.87,0,No,Placed
387,7.58,65.28,57.23,53.42,60.24,69.9,55.68,2,No,0,1,65.06,0,No,Placed
388,9.26,80.09,77.71,89.14,52.78,47.13,100.0,0,Yes,6,1,73.53,0,No,Placed
389,8.25,69.31,74.28,68.41,78.6,81.39,88.49,3,Yes,2,2,83.94,3,Yes,Placed
390,6.57,74.83,73.46,74.54,63.85,64.37,84.55,1,Yes,2,0,81.94,0,Yes,Placed
391,6.21,81.56,65.78,52.67,20.57,31.86,67.85,2,Yes,3,0,76.99,3,No,Not Placed
392,7.74,75.08,66.15,46.71,61.87,67.92,97.26,0,Yes,6,0,84.02,0,No,Placed
393,5.75,69.76,67.2,56.46,22.13,20.49,66.08,4,No,0,0,92.4,0,Yes,Not Placed
394,9.21,73.68,70.71,63.14,63.75,53.44,69.44,1,No,0,1,85.94,0,Yes,Placed
395,8.5,73.94,87.33,49.04,54.44,33.46,,1,Yes,3,1,80.79,1,Yes,Placed
396,6.68,70.56,57.42,64.85,65.61,59.89,82.63,1,No,0,1,91.28,0,No,Placed
397,5.32,71.89,73.75,39.67,44.28,56.2,81.46,4,No,0,4,72.4,2,Yes,Not Placed
398,8.69,94.18,100.0,48.2,50.23,48.42,61.45,3,No,0,0,79.75,0,Yes,Placed
399,7.07,81.73,96.73,75.06,69.79,57.97,60.41,3,No,0,1,79.99,3,No,Not Placed
400,8.56,71.45,66.07,74.06,46.99,50.25,81.52,2,Yes,1,0,69.63,0,Yes,Placed
401,5.45,83.36,83.96,59.12,48.52,36.82,82.87,2,No,0,1,77.8,2,No,Not Placed
402,6.54,70.99,73.45,49.73,40.12,31.75,62.92,1,No,0,1,61.25,0,Yes,Not Placed
403,7.21,89.08,86.73,49.59,52.16,55.28,41.43,2,No,0,3,100.0,2,Yes,Not Placed
404,7.25,79.44,75.7,59.4,65.58,51.99,66.27,1,No,0,1,72.63,1,Yes,Not Placed
405,6.7,73.71,74.83,74.67,61.46,76.55,81.22,5,Yes,6,0,97.86,0,Yes,Placed
406,7.89,80.37,57.08,78.92,83.14,81.16,100.0,3,Yes,3,1,82.38,3,Yes,Placed
407,6.03,56.15,60.99,57.55,46.97,51.0,48.44,2,No,0,0,87.65,0,Yes,Not Placed
408,7.04,61.48,61.34,47.7,60.94,54.19,62.32,1,No,0,0,77.11,0,Yes,Not Placed
409,7.33,60.67,57.83,69.02,52.09,64.9,62.99,3,No,0,1,84.08,2,No,Not Placed
410,7.77,76.72,90.42,52.65,64.86,69.03,94.4,1,Yes,2,0,88.5,0,Yes,Placed
411,7.98,95.79,85.81,57.23,70.45,69.84,69.37,1,No,0,1,88.65,0,No,Not Placed
412,5.96,100.0,91.78,84.88,46.23,63.47,53.67,1,No,0,1,89.75,0,No,Not Placed
413,5.51,82.66,95.32,77.41,17.04,33.03,80.06,2,No,0,1,78.32,2,Yes,Not Placed
414,8.61,81.01,71.25,67.37,73.82,77.3,62.72,3,Yes,2,0,77.2,0,Yes,Placed
415,7.57,53.39,48.65,45.92,65.99,56.59,47.96,2,Yes,6,4,66.06,0,Yes,Placed
416,6.38,68.49,65.46,68.17,40.81,49.04,53.93,0,No,0,1,87.23,1,Yes,Not Placed
417,8.91,65.55,70.72,80.94,51.98,57.92,100.0,2,No,0,2,92.82,2,Yes,Placed
418,7.33,67.55,67.46,59.37,80.76,69.77,76.92,3,No,0,1,98.16,3,Yes,Placed
419,8.5,72.98,60.34,85.27,75.35,71.43,71.94,1,No,0,1,85.05,1,No,Placed
420,7.27,69.33,63.14,84.39,54.76,68.32,65.5,1,No,0,1,74.34,1,No,Placed
421,9.47,51.25,46.26,89.96,58.68,81.17,75.26,4,Yes,3,1,65.03,0,Yes,Placed
422,9.13,83.97,79.96,69.58,60.72,75.09,75.04,5,Yes,3,0,92.42,0,Yes,Placed
423,6.93,62.13,64.32,73.81,74.95,62.04,75.26,5,Yes,2,1,64.04,1,No,Placed
424,8.27,77.87,78.43,86.21,68.21,86.51,72.07,3,Yes,3,2,78.59,4,Yes,Placed
425,7.91,99.89,80.69,71.71,55.02,56.85,85.64,1,No,0,1,79.76,1,No,Placed
426,8.71,63.97,71.08,57.48,77.29,77.35,70.42,1,No,0,0,81.31,0,No,Placed
427,6.14,45.0,47.52,58.27,36.89,34.24,52.4,2,Yes,6,1,82.36,0,No,Not Placed
428,7.95,71.57,80.49,68.58,86.15,82.3,,2,No,0,2,83.38,0,Yes,Placed
429,8.36,88.21,87.94,45.64,87.21,77.87,34.38,5,No,0,2,57.85,1,No,Placed
430,5.27,98.5,100.0,62.85,35.12,28.6,100.0,3,No,0,0,82.15,1,No,Not Placed
431,5.9,60.25,62.95,81.45,37.76,56.95,85.53,3,Yes,2,2,59.7,0,No,Not Placed
432,4.96,80.96,88.63,32.13,10.0,30.1,55.06,1,No,0,1,89.32,0,Yes,Not Placed
433,6.9,69.42,71.65,88.02,33.01,47.76,64.93,4,Yes,3,1,76.45,3,Yes,Not Placed
434,7.99,73.73,70.57,81.84,43.82,68.83,58.54,3,No,0,1,60.43,1,No,Not Placed
435,8.85,100.0,100.0,58.1,72.85,66.53,97.77,1,No,0,2,73.86,0,No,Placed
436,7.28,56.96,63.38,73.15,53.36,67.79,44.44,4,Yes,1,3,76.3,0,Yes,Placed
437,8.99,78.04,79.83,65.05,51.75,33.55,72.06,1,No,0,3,93.91,3,Yes,Not Placed
438,5.68,80.61,67.34,83.45,41.24,78.09,68.05,0,No,0,0,83.97,2,Yes,Not Placed
439,5.33,88.03,73.92,,50.19,74.01,84.88,3,No,0,3,85.44,0,No,Placed
440,7.14,76.18,75.9,44.0,65.03,55.87,68.13,3,No,0,0,93.81,0,No,Not Placed
441,7.62,78.7,76.99,73.81,32.48,25.16,38.35,0,Yes,6,0,81.04,0,Yes,Not Placed
442,7.16,70.3,63.36,61.92,55.39,60.23,65.48,2,Yes,3,1,89.54,0,Yes,Placed
443,4.93,78.23,76.53,66.24,18.66,18.49,52.5,5,No,0,1,88.84,0,Yes,Not Placed
444,7.1,70.88,81.5,54.08,70.34,69.91,71.43,3,Yes,2,1,69.14,0,Yes,Placed
445,5.77,82.46,84.78,91.22,57.88,72.0,95.82,3,No,0,1,96.73,0,Yes,Placed
446,7.94,70.56,59.38,80.6,50.02,49.78,38.69,1,Yes,6,3,67.8,1,Yes,Not Placed
447,7.6,79.53,75.68,53.9,49.34,61.92,55.6,0,Yes,2,0,91.17,0,Yes,Not Placed
448,6.17,74.65,65.74,44.98,42.41,51.24,60.05,1,No,0,0,66.83,0,No,Not Placed
449,6.63,88.51,81.56,59.21,19.29,41.02,63.13,1,Yes,3,3,88.01,0,No,Not Placed
450,6.03,74.38,68.64,71.52,53.32,58.87,83.32,1,No,0,0,100.0,0,No,Not Placed
451,7.13,53.72,49.53,68.6,52.96,43.49,66.88,1,No,0,1,79.87,0,Yes,Not Placed
452,8.25,90.14,76.09,83.8,80.56,91.31,77.48,2,No,0,1,79.44,0,No,Placed
453,6.12,64.13,61.7,76.85,32.45,43.07,58.74,2,No,0,1,88.1,2,No,Not Placed
454,7.75,67.15,60.95,79.54,52.75,46.89,74.14,3,Yes,6,1,78.71,1,Yes,Placed
455,6.62,67.85,45.0,69.9,30.34,55.73,84.0,1,No,0,0,100.0,2,Yes,Not Placed
456,6.33,91.49,100.0,44.16,35.56,59.13,56.82,2,No,0,2,83.92,1,No,Not Placed
457,7.08,49.37,58.14,62.06,38.93,45.46,84.06,0,No,0,0,78.8,1,No,Not Placed
458,6.06,100.0,91.99,80.9,63.43,90.26,70.94,2,No,0,1,76.6,0,Yes,Placed
459,6.59,87.67,84.06,64.23,42.25,49.76,88.82,0,No,0,0,72.67,4,Yes,Not Placed
460,5.88,77.68,65.54,72.55,48.92,52.2,66.37,5,No,0,1,75.72,0,No,Placed
461,9.36,74.34,85.47,60.22,69.18,60.19,76.86,3,No,0,1,78.49,0,No,Placed
462,7.24,78.43,90.76,49.55,38.87,58.44,69.27,2,Yes,3,3,77.12,0,No,Placed
463,6.43,81.25,79.38,63.15,48.92,45.39,68.27,0,Yes,2,2,75.42,4,Yes,Not Placed
464,7.44,82.74,87.66,69.64,68.47,76.17,74.66,2,No,0,1,100.0,4,Yes,Placed
465,7.08,81.67,79.9,55.16,38.5,37.9,79.66,3,Yes,6,3,71.7,1,Yes,Placed
466,6.96,76.07,62.77,61.46,67.79,61.29,47.51,1,Yes,3,1,83.47,0,No,Placed
467,7.88,72.63,67.07,50.91,50.26,60.76,95.81,2,Yes,3,1,87.93,0,No,Placed
468,8.03,73.18,71.92,81.79,57.02,60.65,36.53,3,No,0,1,88.3,4,No,Not Placed
469,6.62,72.66,66.76,60.58,60.89,56.75,57.67,3,Yes,3,1,81.41,1,Yes,Not Placed
470,6.57,88.61,83.0,86.79,42.58,67.17,68.3,3,No,0,2,79.59,3,No,Not Placed
471,6.9,82.12,78.18,87.93,55.74,81.37,77.42,4,Yes,3,0,86.52,0,No,Placed
472,4.67,45.0,45.0,63.78,32.62,48.42,98.37,4,No,0,1,84.67,0,No,Placed
473,5.53,82.87,80.0,49.87,46.21,40.76,36.55,2,No,0,2,79.41,2,No,Not Placed
474,8.7,77.34,66.12,33.71,33.92,28.75,60.86,2,No,0,3,66.38,0,No,Not Placed
475,9.01,74.78,66.56,42.92,44.63,44.92,31.72,3,Yes,3,2,77.32,3,No,Not Placed
476,6.93,70.34,58.03,44.39,64.65,61.78,70.57,3,No,0,1,70.53,0,Yes,Placed
477,7.83,88.49,92.46,85.68,78.23,70.59,74.89,5,No,0,1,75.33,3,No,Placed
478,7.54,86.37,65.89,,46.68,59.93,98.63,0,No,0,1,82.33,0,Yes,Not Placed
479,10.0,65.73,73.38,70.84,76.34,75.55,72.17,2,No,0,1,85.59,1,No,Placed
480,8.43,79.88,87.99,31.69,71.87,42.66,88.79,1,No,0,3,99.8,0,No,Placed
481,7.06,63.34,59.59,47.03,66.87,51.63,80.51,1,No,0,3,76.63,0,Yes,Placed
482,6.15,58.44,45.0,78.31,18.78,31.59,62.17,1,No,0,2,89.75,0,No,Not Placed
483,5.43,67.48,62.84,69.3,30.17,41.18,44.64,3,No,0,0,85.06,4,No,Not Placed
484,7.42,85.35,81.3,62.79,54.4,75.81,74.95,0,No,0,2,94.96,1,No,Not Placed
485,6.37,86.44,74.71,73.47,61.49,67.47,43.14,3,No,0,3,87.76,0,No,Placed
486,5.64,81.16,73.92,89.54,82.56,76.25,93.31,3,No,0,1,71.92,3,No,Not Placed
487,6.49,83.7,92.57,61.68,48.49,54.65,67.08,1,Yes,1,1,64.77,0,No,Not Placed
488,6.01,81.19,83.39,66.04,26.98,35.18,91.51,1,No,0,2,85.11,0,Yes,Not Placed
489,9.06,67.3,58.18,67.89,78.48,78.55,61.36,2,No,0,1,76.72,0,Yes,Placed
490,8.17,80.18,64.38,100.0,85.17,95.43,74.84,3,No,0,4,72.2,2,Yes,Placed
491,7.19,84.6,78.53,33.51,59.15,63.55,73.77,4,Yes,1,1,69.32,0,No,Placed
492,8.83,84.05,78.94,75.25,57.02,62.25,69.19,4,No,0,2,83.61,0,Yes,Placed
493,7.29,89.27,89.31,63.28,72.65,86.23,62.21,5,No,0,2,97.08,3,No,Placed
494,6.25,83.5,75.87,73.5,59.97,73.11,77.06,2,Yes,3,1,77.91,2,Yes,Placed
495,8.88,79.22,80.39,55.14,55.61,48.4,53.33,4,No,0,2,87.9,0,No,Placed
496,7.79,87.84,99.54,64.27,68.06,89.02,48.23,3,Yes,3,1,80.98,1,Yes,Placed
497,6.06,74.68,78.74,75.67,63.43,70.37,92.37,4,No,0,1,69.11,3,No,Placed
498,6.99,64.42,62.59,100.0,73.65,73.21,83.09,0,No,0,0,89.35,0,No,Placed
499,6.24,73.04,69.27,77.12,48.9,73.89,71.19,5,Yes,1,1,71.05,2,No,Placed
500,5.68,66.06,61.6,52.28,40.06,64.5,99.97,2,Yes,3,2,82.22,0,No,Not Placed
501,8.22,66.9,74.65,58.64,84.16,76.17,65.18,3,No,0,3,78.58,1,No,Placed
502,9.3,73.27,65.92,58.2,56.25,51.8,93.81,1,Yes,3,0,90.93,0,No,Placed
503,5.66,65.49,64.3,38.07,51.87,46.01,73.16,2,No,0,1,71.42,1,No,Not Placed
504,7.82,71.3,69.58,60.05,42.0,54.56,51.55,1,No,0,0,85.91,0,Yes,Placed
505,6.48,52.28,48.03,75.99,67.85,83.07,100.0,1,No,0,1,73.6,1,No,Placed
506,6.66,77.56,63.82,45.89,49.44,54.08,87.83,1,Yes,6,3,76.89,0,No,Placed
507,6.55,75.01,75.1,80.73,71.42,75.23,67.82,3,No,0,1,45.65,0,Yes,Placed
508,6.25,65.19,63.19,72.32,57.37,76.83,83.09,0,No,0,1,100.0,0,No,Placed
509,7.25,82.91,83.62,53.99,39.68,40.84,62.73,2,Yes,2,1,87.51,2,No,Not Placed
510,6.29,86.25,78.36,62.88,71.66,79.33,84.92,1,Yes,6,0,74.33,0,No,Placed
511,7.5,55.71,64.9,88.97,83.25,82.09,26.96,2,Yes,2,2,70.75,0,No,Placed
512,7.14,65.85,57.25,76.0,70.39,76.39,,1,No,0,1,77.04,0,Yes,Not Placed
513,6.94,65.77,77.89,65.13,44.07,49.26,87.63,1,Yes,3,1,89.17,1,Yes,Not Placed
514,6.2,63.72,48.37,61.43,45.02,49.39,65.51,2,Yes,1,2,63.08,0,Yes,Not Placed
515,6.57,84.95,84.94,66.15,54.71,54.36,73.74,3,No,0,2,80.58,1,Yes,Placed
516,8.03,72.67,74.21,,53.69,68.23,45.76,1,No,0,2,99.71,0,No,Not Placed
517,7.75,71.83,63.28,33.43,87.39,63.87,100.0,1,No,0,3,70.66,0,Yes,Placed
518,6.12,50.95,54.25,95.63,51.16,57.1,91.43,1,No,0,4,82.8,0,No,Placed
519,7.31,82.63,89.6,67.33,17.92,53.96,66.39,5,Yes,3,1,100.0,3,No,Not Placed
520,8.03,60.13,45.0,70.97,69.3,79.58,62.72,2,No,0,0,88.32,0,No,Placed
521,5.36,75.72,77.17,64.13,37.69,21.77,88.53,2,Yes,2,1,83.26,0,Yes,Not Placed
522,7.8,78.33,55.55,53.97,61.26,53.42,100.0,1,No,0,2,87.07,0,Yes,Placed
523,6.47,91.33,79.47,62.21,46.24,32.91,87.17,2,No,0,0,77.99,0,Yes,Not Placed
524,7.83,59.29,71.4,41.01,74.73,55.1,100.0,0,Yes,2,0,95.0,0,Yes,Placed
525,6.36,45.0,45.0,99.16,67.68,45.74,53.4,0,No,0,0,78.01,2,No,Not Placed
526,5.21,77.21,65.09,46.48,45.96,44.75,55.25,2,No,0,2,62.41,0,No,Not Placed
527,5.41,96.61,90.36,49.52,38.19,30.17,48.6,2,Yes,6,1,78.09,0,Yes,Not Placed
